"Designator","Val","Footprint","Mid X","Mid Y","Rotation","Layer",,
"C1","22pF","C_0603_1608Metric",87.500000,-64.000000,0.000000,top,,
"C2","22pF","C_0603_1608Metric",103.000000,-64.000000,0.000000,top,,
"C3","22pF","C_0603_1608Metric",118.500000,-64.000000,0.000000,top,,
"C4","22pF","C_0603_1608Metric",134.000000,-64.000000,0.000000,top,,
"C5","10u","C_0603_1608Metric",117.500000,-55.000000,-90.000000,top,,
"D1","LED","LED_0603_1608Metric",137.500000,-55.000000,90.000000,top,,
"R1","330","R_0402_1005Metric",137.500000,-57.750000,90.000000,top,,
"U1","TTP224B","SSOP-16_3.9x4.9mm_P0.635mm",112.250000,-56.750000,180.000000,top,,
